urls	urls_status	file
https://hutchdatascience.org/dasl-snack-github/getting-a-repository-on-to-your-computer--cloning.html	failed	/github/workspace/01-intro.Rmd
https://github.com/AlexsLemonade/training-modules/blob/master/intro-to-R-tidyverse/00b-debugging_resources.md	failed	/github/workspace/11-whats-code-review.Rmd
https://hutchdatascience.org/dasl-snack-github/cloning-a-repository.html	failed	/github/workspace/README.md
